Image,Emotion,EAR,PupilSize
archive/train\angry\im0.png,angry,0.4360498819343295,0.3462962962962963
archive/train\angry\im10.png,angry,0.45528027639488294,0.09913419913419913
archive/train\angry\im100.png,angry,0.18617519895072454,0.65
archive/train\angry\im1001.png,angry,0.11442325932180719,0.025
archive/train\angry\im1002.png,angry,0.25114988029146607,0.33959899749373434
archive/train\angry\im1005.png,angry,0.3226744658893339,0.12532894736842107
archive/train\angry\im1007.png,angry,0.4060863809766191,0.38824110671936757
archive/train\angry\im1008.png,angry,0.27672296601686136,0.1450501253132832
archive/train\angry\im1009.png,angry,0.2943373125048351,0.7266081871345029
archive/train\angry\im1010.png,angry,0.45893198511071587,0.0
archive/train\angry\im1011.png,angry,0.1213235294117647,0.018518518518518517
archive/train\angry\im1012.png,angry,0.1951348209708575,0.3224206349206349
archive/train\angry\im1013.png,angry,0.27025554103695826,0.12698412698412698
archive/train\angry\im1014.png,angry,0.29295453387091086,0.0
archive/train\angry\im1016.png,angry,0.3511207736552595,0.11867559523809523
archive/train\angry\im1017.png,angry,0.40861344537815125,0.15119047619047618
archive/train\angry\im1018.png,angry,0.24086699493984395,0.12188208616780044
archive/train\angry\im1019.png,angry,0.267934956184289,0.046296296296296294
archive/train\angry\im1020.png,angry,0.2964225543174128,0.323202614379085
archive/train\angry\im1021.png,angry,0.48663654861941047,0.23101726648637405
archive/train\angry\im1024.png,angry,0.25021838075290104,0.056344696969696975
archive/train\angry\im1026.png,angry,0.2583191406318367,0.0
archive/train\angry\im1027.png,angry,0.21297658636729322,0.6865079365079365
archive/train\angry\im1028.png,angry,0.3114035471002552,0.19170437405731525
archive/train\angry\im1029.png,angry,0.38460871316652956,0.2113095238095238
archive/train\angry\im103.png,angry,0.14960863340682307,0.5438596491228069
archive/train\angry\im1030.png,angry,0.1498128508316767,0.2857142857142857
archive/train\angry\im1031.png,angry,0.1100410687989129,0.6136363636363636
archive/train\angry\im1032.png,angry,0.35862455584221836,0.2105654761904762
archive/train\angry\im1033.png,angry,0.31708790803177866,0.7142857142857142
archive/train\angry\im1034.png,angry,0.3414658663428035,0.7754726890756303
archive/train\angry\im1035.png,angry,0.21580528300835028,0.35833333333333334
archive/train\angry\im1036.png,angry,0.3687108120791785,0.6711601307189543
archive/train\angry\im1038.png,angry,0.2833541666359978,0.5196078431372549
archive/train\angry\im1039.png,angry,0.33871468795855897,0.5568428853754941
archive/train\angry\im104.png,angry,0.41160324157267425,0.3595238095238095
